Gene stable ID,Gene name,Gene type,Database of genes from NCBI RefSeq genomes ID
LOC4814511,,protein_coding,4814511
LOC4802649,,protein_coding,4802649
LOC4816048,,protein_coding,4816048
LOC6902581,,protein_coding,6902581
LOC4813124,,protein_coding,4813124
LOC6897053,,protein_coding,6897053
LOC4813818,,protein_coding,4813818
LOC117183929,,lncRNA,117183929
LOC26533045,,lncRNA,26533045
LOC4817015,,protein_coding,4817015
LOC4804081,,protein_coding,4804081
LOC4813751,,protein_coding,4813751
LOC4803442,,protein_coding,4803442
LOC13036323,,protein_coding,13036323
LOC4803289,,protein_coding,4803289
LOC26532122,,lncRNA,26532122
LOC6897125,,protein_coding,6897125
LOC6901081,,protein_coding,6901081
LOC117184862,,protein_coding,117184862
LOC5384072,,protein_coding,5384072
LOC4801696,,protein_coding,4801696
LOC6899357,,protein_coding,6899357
LOC4804673,,protein_coding,4804673
LOC4815755,,protein_coding,4815755
LOC117183609,,lncRNA,117183609
LOC117183307,,lncRNA,117183307
LOC117184633,,lncRNA,117184633
LOC6903171,,protein_coding,6903171
LOC4812463,,protein_coding,4812463
LOC4811689,,protein_coding,4811689
LOC6900300,,protein_coding,6900300
LOC6897641,,protein_coding,6897641
LOC6901668,,protein_coding,6901668
LOC4817577,,protein_coding,4817577
LOC6897850,,protein_coding,6897850
LOC117184912,,lncRNA,117184912
LOC117183396,,lncRNA,117183396
LOC117185046,,pseudogene,117185046
LOC4813727,,protein_coding,4813727
LOC117183596,,lncRNA,117183596
LOC6902449,,protein_coding,6902449
LOC4813801,,protein_coding,4813801
LOC4803975,,protein_coding,4803975
LOC4812402,,protein_coding,4812402
LOC117183501,,lncRNA,117183501
LOC26532934,,protein_coding,26532934
LOC117185319,,rRNA,117185319
LOC6898272,,protein_coding,6898272
LOC6902188,,protein_coding,6902188
LOC4805696,,protein_coding,4805696
LOC117183378,,protein_coding,117183378
LOC6900714,,protein_coding,6900714
LOC4802030,,protein_coding,4802030
LOC6901072,,protein_coding,6901072
LOC4816278,,protein_coding,4816278
LOC13036380,,protein_coding,13036380
LOC4816888,,protein_coding,4816888
LOC4812815,,protein_coding,4812815
LOC117184737,,protein_coding,117184737
LOC117184707,,protein_coding,117184707
LOC117183228,,lncRNA,117183228
LOC4804785,,protein_coding,4804785
LOC4813425,,protein_coding,4813425
LOC4800693,,protein_coding,4800693
LOC4816030,,protein_coding,4816030
LOC6903406,,protein_coding,6903406
LOC6897477,,protein_coding,6897477
LOC4800530,,protein_coding,4800530
LOC4818098,,protein_coding,4818098
LOC6897141,,protein_coding,6897141
LOC117185505,,pseudogene,117185505
LOC6900858,,protein_coding,6900858
LOC6898780,,protein_coding,6898780
LOC4815658,,protein_coding,4815658
LOC4804093,,protein_coding,4804093
LOC26533011,,lncRNA,26533011
LOC4815446,,protein_coding,4815446
LOC6903347,,lncRNA,6903347
LOC117184174,,protein_coding,117184174
LOC4803005,,protein_coding,4803005
LOC4813536,,protein_coding,4813536
LOC6899002,,protein_coding,6899002
LOC4811989,,protein_coding,4811989
LOC26532572,,protein_coding,26532572
LOC6899075,,snoRNA,6899075
LOC4812676,,protein_coding,4812676
LOC4800683,,protein_coding,4800683
LOC6902299,,protein_coding,6902299
LOC4803985,,protein_coding,4803985
LOC4812777,,protein_coding,4812777
LOC26534046,,lncRNA,26534046
LOC6900262,,protein_coding,6900262
LOC4812206,,protein_coding,4812206
LOC4813789,,protein_coding,4813789
LOC4800256,,protein_coding,4800256
LOC26533867,,pseudogene,26533867
LOC6903085,,protein_coding,6903085
LOC26531981,,protein_coding,26531981
LOC26531966,,protein_coding,26531966
LOC4813063,,protein_coding,4813063
LOC6897317,,protein_coding,6897317
LOC4803147,,protein_coding,4803147
LOC117185166,,lncRNA,117185166
LOC6901796,,protein_coding,6901796
LOC6898990,,protein_coding,6898990
LOC6901842,,protein_coding,6901842
LOC4813922,,protein_coding,4813922
LOC4801823,,protein_coding,4801823
LOC4812864,,protein_coding,4812864
LOC4818147,,protein_coding,4818147
LOC117183600,,lncRNA,117183600
LOC4804614,,protein_coding,4804614
LOC117183575,,lncRNA,117183575
LOC4804169,,protein_coding,4804169
LOC4811997,,protein_coding,4811997
LOC4814106,,protein_coding,4814106
LOC6902594,,protein_coding,6902594
LOC117183402,,lncRNA,117183402
LOC6899768,,protein_coding,6899768
LOC4816445,,protein_coding,4816445
LOC4802446,,protein_coding,4802446
LOC4802487,,protein_coding,4802487
LOC26534030,,protein_coding,26534030
LOC117185161,,protein_coding,117185161
LOC4815364,,protein_coding,4815364
LOC4800391,,protein_coding,4800391
LOC6898086,,protein_coding,6898086
LOC6900331,,protein_coding,6900331
LOC117184726,,lncRNA,117184726
LOC4814551,,protein_coding,4814551
LOC26534142,,protein_coding,26534142
LOC4802235,,protein_coding,4802235
LOC117183940,,lncRNA,117183940
LOC4803988,,protein_coding,4803988
LOC4816116,,protein_coding,4816116
LOC4802585,,protein_coding,4802585
LOC4813547,,protein_coding,4813547
LOC6898532,,protein_coding,6898532
LOC4801004,,protein_coding,4801004
LOC6896863,,protein_coding,6896863
LOC4801761,,protein_coding,4801761
LOC4805353,,protein_coding,4805353
LOC4812774,,protein_coding,4812774
LOC26533596,,lncRNA,26533596
LOC4812687,,protein_coding,4812687
LOC4817036,,protein_coding,4817036
LOC4802854,,protein_coding,4802854
LOC4816362,,protein_coding,4816362
LOC117184284,,snoRNA,117184284
LOC117183978,,protein_coding,117183978
LOC4816434,,protein_coding,4816434
LOC117183174,,protein_coding,117183174
LOC4816964,,protein_coding,4816964
LOC4805309,,protein_coding,4805309
LOC117184372,,lncRNA,117184372
LOC4815875,,protein_coding,4815875
LOC4814882,,protein_coding,4814882
LOC117184411,,lncRNA,117184411
LOC4804863,,protein_coding,4804863
LOC4812082,,protein_coding,4812082
LOC4802362,,protein_coding,4802362
LOC4802689,,protein_coding,4802689
LOC4805307,,protein_coding,4805307
LOC6898281,,protein_coding,6898281
LOC6900151,,protein_coding,6900151
LOC117185584,,rRNA,117185584
LOC4813242,,protein_coding,4813242
LOC6902019,,protein_coding,6902019
LOC26533086,,lncRNA,26533086
LOC4804301,,protein_coding,4804301
LOC6900978,,protein_coding,6900978
LOC4803173,,protein_coding,4803173
LOC4813544,,protein_coding,4813544
LOC4805187,,protein_coding,4805187
LOC117184790,,protein_coding,117184790
LOC4804741,,protein_coding,4804741
LOC4817782,,protein_coding,4817782
LOC4812220,,protein_coding,4812220
LOC26532188,,protein_coding,26532188
LOC4812795,,protein_coding,4812795
LOC4800286,,protein_coding,4800286
LOC4800432,,protein_coding,4800432
LOC4804907,,protein_coding,4804907
LOC4804275,,protein_coding,4804275
LOC6902439,,protein_coding,6902439
LOC26532133,,protein_coding,26532133
LOC6900849,,protein_coding,6900849
LOC4805532,,protein_coding,4805532
LOC4813455,,protein_coding,4813455
LOC26532516,,lncRNA,26532516
LOC117183431,Trnav-cac,tRNA,117183431
LOC4803467,,protein_coding,4803467
LOC4804896,,protein_coding,4804896
LOC4800463,,protein_coding,4800463
LOC6898025,,protein_coding,6898025
LOC117184135,,lncRNA,117184135
LOC4802745,,protein_coding,4802745
LOC4815163,,protein_coding,4815163
LOC4800652,,protein_coding,4800652
LOC4813458,,protein_coding,4813458
LOC6898776,,protein_coding,6898776
LOC117183976,,lncRNA,117183976
LOC4803379,,protein_coding,4803379
LOC117184144,,lncRNA,117184144
LOC4811933,,protein_coding,4811933
LOC4817119,,protein_coding,4817119
LOC117185649,,lncRNA,117185649
LOC6899750,,protein_coding,6899750
LOC6901123,,protein_coding,6901123
LOC4802213,,protein_coding,4802213
LOC4804067,,protein_coding,4804067
LOC6899878,,protein_coding,6899878
LOC117184261,,pseudogene,117184261
LOC117184292,Trnar-ccu-5,tRNA,117184292
LOC4817849,,protein_coding,4817849
LOC117184279,,lncRNA,117184279
LOC6901028,,protein_coding,6901028
LOC117185416,,rRNA,117185416
LOC4815038,,protein_coding,4815038
LOC4804132,,protein_coding,4804132
LOC4813081,,protein_coding,4813081
LOC6897213,,protein_coding,6897213
LOC4811859,,protein_coding,4811859
LOC4814151,,protein_coding,4814151
LOC6903520,,protein_coding,6903520
LOC6899232,,protein_coding,6899232
LOC6901231,,protein_coding,6901231
LOC4817896,,protein_coding,4817896
LOC117183865,Trnai-aau-5,tRNA,117183865
LOC4800302,,protein_coding,4800302
LOC117185459,,rRNA,117185459
LOC4814837,,protein_coding,4814837
LOC4803136,,protein_coding,4803136
LOC4802568,,protein_coding,4802568
LOC26534286,,lncRNA,26534286
LOC4816430,,protein_coding,4816430
LOC4803025,,protein_coding,4803025
LOC117183589,,protein_coding,117183589
LOC4803848,,protein_coding,4803848
LOC26532309,,lncRNA,26532309
LOC26532323,,protein_coding,26532323
LOC6903886,,protein_coding,6903886
LOC6903076,,protein_coding,6903076
LOC4813464,,protein_coding,4813464
LOC26532452,,protein_coding,26532452
LOC117185616,,protein_coding,117185616
LOC6900564,,protein_coding,6900564
LOC6901882,,protein_coding,6901882
LOC6897893,,protein_coding,6897893
LOC4804758,,protein_coding,4804758
LOC6900239,,protein_coding,6900239
LOC6897397,,protein_coding,6897397
LOC4802804,,protein_coding,4802804
LOC4803106,,protein_coding,4803106
LOC4815239,,protein_coding,4815239
LOC4812199,,protein_coding,4812199
LOC26533684,,lncRNA,26533684
LOC117184401,,protein_coding,117184401
LOC4816588,,protein_coding,4816588
LOC117184848,,lncRNA,117184848
LOC4804540,,protein_coding,4804540
LOC26532415,,protein_coding,26532415
LOC4816652,,protein_coding,4816652
LOC4816474,,protein_coding,4816474
LOC4804768,,protein_coding,4804768
LOC4814584,,protein_coding,4814584
LOC4804721,,protein_coding,4804721
LOC26532816,,protein_coding,26532816
LOC4804626,,protein_coding,4804626
LOC4813647,,protein_coding,4813647
LOC4803704,,protein_coding,4803704
LOC117184371,,lncRNA,117184371
LOC4800492,,protein_coding,4800492
LOC6899924,,protein_coding,6899924
LOC6902601,,protein_coding,6902601
LOC4817259,,protein_coding,4817259
LOC4814022,,protein_coding,4814022
LOC4817436,,protein_coding,4817436
LOC4817466,,protein_coding,4817466
LOC4811819,,protein_coding,4811819
LOC4805156,,protein_coding,4805156
LOC4813837,,protein_coding,4813837
LOC4804427,,protein_coding,4804427
LOC6903964,,protein_coding,6903964
LOC6897056,,protein_coding,6897056
LOC4815539,,protein_coding,4815539
LOC6903299,,protein_coding,6903299
LOC4800604,,protein_coding,4800604
LOC4805373,,protein_coding,4805373
LOC6900118,,protein_coding,6900118
