Gene stable ID,Gene name,Gene type,Database of genes from NCBI RefSeq genomes ID
LOC26534018,,lncRNA,26534018
LOC4816440,,protein_coding,4816440
LOC4803950,,protein_coding,4803950
LOC6897519,,protein_coding,6897519
LOC4805076,,protein_coding,4805076
LOC26534078,,lncRNA,26534078
LOC4803347,,protein_coding,4803347
LOC4800614,,protein_coding,4800614
LOC6898519,,protein_coding,6898519
LOC4814416,,protein_coding,4814416
LOC4803145,,protein_coding,4803145
LOC4805099,,protein_coding,4805099
LOC4800436,,protein_coding,4800436
LOC6897153,,protein_coding,6897153
LOC4805500,,protein_coding,4805500
LOC4803977,,protein_coding,4803977
LOC4805435,,protein_coding,4805435
LOC4816009,,protein_coding,4816009
LOC4816879,,protein_coding,4816879
LOC4802893,,protein_coding,4802893
LOC4811776,,protein_coding,4811776
LOC6902682,,protein_coding,6902682
LOC6896711,,protein_coding,6896711
LOC26532920,,protein_coding,26532920
LOC4800358,,protein_coding,4800358
LOC4813531,,protein_coding,4813531
LOC4800879,,protein_coding,4800879
LOC4815696,,protein_coding,4815696
LOC6901966,,protein_coding,6901966
LOC4816535,,protein_coding,4816535
LOC6901784,,protein_coding,6901784
LOC4814316,,protein_coding,4814316
LOC6902405,,protein_coding,6902405
LOC6900014,,protein_coding,6900014
LOC4816835,,protein_coding,4816835
LOC4805404,,protein_coding,4805404
LOC4803533,,protein_coding,4803533
LOC117184590,,protein_coding,117184590
LOC4815093,,protein_coding,4815093
LOC6897579,,pseudogene,6897579
LOC6896929,,protein_coding,6896929
LOC6897016,,protein_coding,6897016
LOC4816246,,protein_coding,4816246
LOC6897098,,protein_coding,6897098
LOC4812830,,protein_coding,4812830
LOC26533112,,lncRNA,26533112
LOC26532130,,lncRNA,26532130
LOC6903331,,protein_coding,6903331
LOC4802377,,protein_coding,4802377
LOC4812308,,protein_coding,4812308
LOC6899082,,protein_coding,6899082
LOC26532027,,protein_coding,26532027
LOC4803406,,protein_coding,4803406
LOC4812571,,protein_coding,4812571
LOC4801449,,protein_coding,4801449
LOC4802242,,protein_coding,4802242
LOC4805337,,protein_coding,4805337
LOC4816597,,protein_coding,4816597
LOC4805312,,protein_coding,4805312
LOC6902973,,protein_coding,6902973
LOC4804615,,protein_coding,4804615
LOC6901912,,protein_coding,6901912
LOC6898271,,protein_coding,6898271
LOC4801281,,protein_coding,4801281
LOC117184722,,lncRNA,117184722
LOC4817232,,protein_coding,4817232
LOC4814562,,protein_coding,4814562
LOC4817272,,protein_coding,4817272
LOC4812620,,protein_coding,4812620
LOC4816930,,protein_coding,4816930
LOC117185282,,rRNA,117185282
LOC4800814,,protein_coding,4800814
LOC4811811,,protein_coding,4811811
LOC4815375,,protein_coding,4815375
LOC26532174,,lncRNA,26532174
LOC4800252,,protein_coding,4800252
LOC4815191,,protein_coding,4815191
LOC117184222,,protein_coding,117184222
LOC4802802,,protein_coding,4802802
LOC6898115,,protein_coding,6898115
LOC4813816,,protein_coding,4813816
LOC4817181,,protein_coding,4817181
LOC6902909,,protein_coding,6902909
LOC6900567,,protein_coding,6900567
LOC4811994,,protein_coding,4811994
LOC4814234,,protein_coding,4814234
LOC26533236,,protein_coding,26533236
LOC6898377,,protein_coding,6898377
LOC4805134,,protein_coding,4805134
LOC4813601,,protein_coding,4813601
LOC4800343,,protein_coding,4800343
LOC117183897,,lncRNA,117183897
LOC4804648,,protein_coding,4804648
LOC6902760,,protein_coding,6902760
LOC117183461,Trnav-aac-2,tRNA,117183461
LOC4815624,,protein_coding,4815624
LOC6903142,,protein_coding,6903142
LOC4816330,,protein_coding,4816330
LOC6901780,,protein_coding,6901780
LOC4813215,,protein_coding,4813215
LOC4801663,,protein_coding,4801663
LOC6901567,,protein_coding,6901567
LOC4801862,,protein_coding,4801862
LOC4803286,,protein_coding,4803286
LOC6900688,,protein_coding,6900688
LOC4804689,,protein_coding,4804689
LOC4801885,,protein_coding,4801885
LOC117185479,,rRNA,117185479
LOC6897169,,protein_coding,6897169
LOC4801132,,protein_coding,4801132
LOC4800950,,protein_coding,4800950
LOC6901183,,protein_coding,6901183
LOC4814258,,protein_coding,4814258
LOC26534126,,lncRNA,26534126
LOC4812726,,protein_coding,4812726
LOC26532499,,protein_coding,26532499
LOC4812347,,protein_coding,4812347
LOC4814729,,protein_coding,4814729
LOC4812936,,protein_coding,4812936
LOC4803651,,protein_coding,4803651
LOC4800889,,protein_coding,4800889
LOC117183920,,protein_coding,117183920
LOC4805160,,protein_coding,4805160
LOC4803940,,protein_coding,4803940
LOC4803451,,protein_coding,4803451
LOC4816487,,protein_coding,4816487
LOC6896909,,protein_coding,6896909
LOC4805055,,protein_coding,4805055
LOC4814359,,protein_coding,4814359
LOC6902054,,protein_coding,6902054
LOC4817635,,protein_coding,4817635
LOC6900124,,protein_coding,6900124
LOC4815278,,protein_coding,4815278
LOC4804981,,protein_coding,4804981
LOC4803303,,protein_coding,4803303
LOC6897024,,protein_coding,6897024
LOC4813214,,protein_coding,4813214
LOC117184700,,lncRNA,117184700
LOC4803407,,protein_coding,4803407
LOC4812273,,protein_coding,4812273
LOC6902183,,protein_coding,6902183
LOC4803126,,protein_coding,4803126
LOC4800772,,protein_coding,4800772
LOC4814318,,protein_coding,4814318
LOC4801289,,protein_coding,4801289
LOC4800621,,protein_coding,4800621
LOC4816551,,protein_coding,4816551
LOC6903516,,protein_coding,6903516
LOC4816166,,protein_coding,4816166
LOC4813682,,protein_coding,4813682
LOC4815731,,protein_coding,4815731
LOC4817065,,protein_coding,4817065
LOC4814897,,protein_coding,4814897
LOC4816122,,protein_coding,4816122
LOC6897857,,protein_coding,6897857
LOC4818048,,protein_coding,4818048
LOC6897874,,protein_coding,6897874
LOC26532622,,lncRNA,26532622
LOC4815543,,protein_coding,4815543
LOC117185631,,protein_coding,117185631
LOC4805045,,protein_coding,4805045
LOC4801489,,protein_coding,4801489
LOC6898911,,protein_coding,6898911
LOC117183811,Trnaf-gaa-5,tRNA,117183811
LOC4804201,,protein_coding,4804201
LOC117185080,,protein_coding,117185080
LOC4813483,,protein_coding,4813483
LOC4801579,,protein_coding,4801579
LOC26532726,,protein_coding,26532726
LOC4801763,,protein_coding,4801763
LOC4802803,,protein_coding,4802803
LOC4813529,,protein_coding,4813529
LOC6896875,,protein_coding,6896875
LOC26533928,,protein_coding,26533928
LOC4803840,,protein_coding,4803840
LOC4816881,,protein_coding,4816881
LOC6900413,,protein_coding,6900413
LOC4802682,,protein_coding,4802682
LOC4805401,,protein_coding,4805401
LOC6897799,,protein_coding,6897799
LOC117184779,,protein_coding,117184779
LOC4812746,,protein_coding,4812746
LOC4801234,,protein_coding,4801234
LOC117183687,,lncRNA,117183687
LOC4812513,,protein_coding,4812513
LOC4811751,,protein_coding,4811751
LOC4805476,,protein_coding,4805476
LOC6896760,,protein_coding,6896760
LOC26533750,,protein_coding,26533750
LOC13036470,,protein_coding,13036470
LOC6902148,,protein_coding,6902148
LOC4816552,,protein_coding,4816552
LOC6900041,,protein_coding,6900041
LOC4805445,,protein_coding,4805445
LOC4800938,,protein_coding,4800938
LOC4816132,,protein_coding,4816132
LOC117184555,,lncRNA,117184555
LOC6896874,,protein_coding,6896874
LOC6902604,,protein_coding,6902604
LOC4818018,,protein_coding,4818018
LOC4804869,,protein_coding,4804869
LOC6901423,,protein_coding,6901423
LOC4804814,,protein_coding,4804814
LOC117183866,Trnal-cag,tRNA,117183866
LOC4815595,,protein_coding,4815595
LOC4816249,,protein_coding,4816249
LOC6901528,,protein_coding,6901528
LOC4816028,,protein_coding,4816028
LOC4814725,,protein_coding,4814725
LOC4801953,,protein_coding,4801953
LOC4803784,,protein_coding,4803784
LOC4816202,,protein_coding,4816202
LOC6900907,,protein_coding,6900907
LOC4815622,,protein_coding,4815622
LOC4813702,,protein_coding,4813702
LOC4812681,,protein_coding,4812681
LOC117183445,Trnay-gua,tRNA,117183445
LOC6902597,,protein_coding,6902597
LOC4805378,,protein_coding,4805378
LOC6898449,,protein_coding,6898449
LOC4804495,,protein_coding,4804495
LOC4815463,,protein_coding,4815463
LOC117185208,,protein_coding,117185208
LOC117185133,,lncRNA,117185133
LOC6901635,,protein_coding,6901635
LOC117184592,,protein_coding,117184592
LOC26533787,,lncRNA,26533787
LOC4816350,,protein_coding,4816350
LOC4811905,,protein_coding,4811905
LOC4811855,,protein_coding,4811855
LOC4816698,,protein_coding,4816698
LOC26534109,,protein_coding,26534109
LOC6902572,,protein_coding,6902572
LOC4801578,,protein_coding,4801578
LOC117184251,,protein_coding,117184251
LOC4800923,,protein_coding,4800923
LOC117185131,,pseudogene,117185131
LOC6896731,,protein_coding,6896731
LOC4803103,,protein_coding,4803103
LOC4800248,,protein_coding,4800248
LOC6903515,,protein_coding,6903515
LOC6903371,,protein_coding,6903371
LOC4804345,,protein_coding,4804345
LOC4803638,,protein_coding,4803638
LOC117183776,,lncRNA,117183776
LOC117183806,Trnam-cau-3,tRNA,117183806
LOC6896876,,protein_coding,6896876
LOC4802697,,protein_coding,4802697
LOC4815171,,protein_coding,4815171
LOC4802911,,protein_coding,4802911
LOC4812407,,protein_coding,4812407
LOC4815771,,protein_coding,4815771
LOC6899051,,protein_coding,6899051
LOC4804970,,protein_coding,4804970
LOC4814738,,protein_coding,4814738
LOC4800591,,protein_coding,4800591
LOC6903169,,protein_coding,6903169
LOC117184130,,lncRNA,117184130
LOC26534398,,lncRNA,26534398
LOC6898564,,protein_coding,6898564
LOC4817142,,protein_coding,4817142
LOC4814044,,protein_coding,4814044
LOC4817504,,protein_coding,4817504
LOC4814394,,protein_coding,4814394
LOC4803655,,protein_coding,4803655
LOC6903879,,protein_coding,6903879
LOC4813162,,protein_coding,4813162
LOC4801437,,protein_coding,4801437
LOC6900669,,protein_coding,6900669
LOC4801402,,protein_coding,4801402
LOC4802470,,protein_coding,4802470
LOC4803619,,protein_coding,4803619
LOC26532732,,lncRNA,26532732
LOC4803543,,protein_coding,4803543
LOC6900648,,protein_coding,6900648
LOC26533243,,protein_coding,26533243
LOC4803716,,protein_coding,4803716
LOC4814150,,protein_coding,4814150
LOC4801739,,protein_coding,4801739
LOC6901874,,protein_coding,6901874
LOC4805622,,protein_coding,4805622
LOC4800487,,protein_coding,4800487
LOC4812136,,protein_coding,4812136
LOC4801026,,protein_coding,4801026
LOC4803540,,protein_coding,4803540
LOC4803787,,protein_coding,4803787
LOC6903170,,protein_coding,6903170
LOC4801413,,protein_coding,4801413
LOC4804992,,protein_coding,4804992
LOC4803603,,protein_coding,4803603
LOC6902968,,protein_coding,6902968
LOC4802720,,protein_coding,4802720
LOC4817371,,protein_coding,4817371
LOC26533805,,protein_coding,26533805
LOC4804796,,protein_coding,4804796
LOC4814305,,protein_coding,4814305
LOC4813800,,protein_coding,4813800
LOC6897950,,protein_coding,6897950
LOC6901506,,protein_coding,6901506
LOC4800825,,protein_coding,4800825
LOC4815053,,protein_coding,4815053
LOC26534325,,lncRNA,26534325
LOC26533439,,protein_coding,26533439
LOC4803402,,protein_coding,4803402
LOC4817911,,protein_coding,4817911
LOC26534133,,lncRNA,26534133
LOC4813920,,protein_coding,4813920
LOC6897490,,protein_coding,6897490
LOC4813198,,protein_coding,4813198
LOC4800774,,protein_coding,4800774
LOC6897092,,protein_coding,6897092
LOC117185041,,protein_coding,117185041
LOC4801979,,protein_coding,4801979
LOC117184712,,lncRNA,117184712
LOC4800953,,protein_coding,4800953
LOC4805248,,protein_coding,4805248
LOC4818166,,protein_coding,4818166
LOC4817203,,protein_coding,4817203
LOC13036433,,protein_coding,13036433
LOC4800854,,protein_coding,4800854
LOC4814162,,protein_coding,4814162
LOC4804348,,protein_coding,4804348
LOC117184357,,lncRNA,117184357
LOC6898348,,protein_coding,6898348
LOC4801110,,protein_coding,4801110
LOC4803482,,protein_coding,4803482
LOC6898146,,protein_coding,6898146
LOC26532969,,lncRNA,26532969
LOC117185321,,rRNA,117185321
LOC4804613,,protein_coding,4804613
LOC4803261,,protein_coding,4803261
LOC6899877,,protein_coding,6899877
LOC4817867,,protein_coding,4817867
LOC6902186,,protein_coding,6902186
LOC6903880,,protein_coding,6903880
LOC4814579,,protein_coding,4814579
LOC6899793,,protein_coding,6899793
LOC117183992,,pseudogene,117183992
LOC4816275,,protein_coding,4816275
LOC117184850,,lncRNA,117184850
LOC4802388,,protein_coding,4802388
LOC4803654,,protein_coding,4803654
LOC4817275,,protein_coding,4817275
LOC4815066,,protein_coding,4815066
LOC4813779,,protein_coding,4813779
LOC117183678,,lncRNA,117183678
LOC4813037,,protein_coding,4813037
LOC6901249,,protein_coding,6901249
LOC4816632,,protein_coding,4816632
LOC117183504,,lncRNA,117183504
LOC6901854,,protein_coding,6901854
LOC4817704,,protein_coding,4817704
LOC117185448,,rRNA,117185448
LOC4801871,,protein_coding,4801871
LOC4803079,,protein_coding,4803079
LOC117185099,,lncRNA,117185099
LOC4817875,,protein_coding,4817875
LOC117184826,,lncRNA,117184826
LOC26532645,,protein_coding,26532645
LOC4816571,,protein_coding,4816571
LOC4818067,,protein_coding,4818067
LOC4815437,,protein_coding,4815437
LOC117185255,,rRNA,117185255
LOC4804551,,protein_coding,4804551
LOC4800845,,protein_coding,4800845
LOC4802187,,protein_coding,4802187
LOC117184810,,lncRNA,117184810
LOC4802490,,protein_coding,4802490
LOC6898112,,protein_coding,6898112
LOC4803611,,protein_coding,4803611
LOC4813240,,protein_coding,4813240
LOC26532324,,protein_coding,26532324
LOC6900729,,protein_coding,6900729
LOC6900180,,protein_coding,6900180
LOC4805080,,protein_coding,4805080
LOC4812225,,protein_coding,4812225
LOC4817223,,protein_coding,4817223
LOC4804249,,protein_coding,4804249
LOC4803621,,protein_coding,4803621
LOC26532878,,lncRNA,26532878
LOC4802675,,protein_coding,4802675
LOC6903262,,protein_coding,6903262
LOC117185536,,rRNA,117185536
LOC4803098,,protein_coding,4803098
LOC4801531,,protein_coding,4801531
LOC6898473,,protein_coding,6898473
LOC4802577,,protein_coding,4802577
LOC4812008,,protein_coding,4812008
LOC117185554,,lncRNA,117185554
LOC4814744,,protein_coding,4814744
LOC4814547,,protein_coding,4814547
LOC6901082,,protein_coding,6901082
LOC117184785,,lncRNA,117184785
LOC6899316,,protein_coding,6899316
LOC4817894,,protein_coding,4817894
LOC4801928,,protein_coding,4801928
LOC117185639,,protein_coding,117185639
LOC4800948,,protein_coding,4800948
LOC117183183,,protein_coding,117183183
LOC4817467,,protein_coding,4817467
LOC26534315,,protein_coding,26534315
LOC4815803,,protein_coding,4815803
LOC4812786,,protein_coding,4812786
LOC117184843,,protein_coding,117184843
LOC4812403,,protein_coding,4812403
LOC6896778,,protein_coding,6896778
LOC26532504,,lncRNA,26532504
LOC6898550,,snoRNA,6898550
LOC4816618,,protein_coding,4816618
LOC26534219,,lncRNA,26534219
LOC4800489,,protein_coding,4800489
LOC117183509,,protein_coding,117183509
LOC6897975,,protein_coding,6897975
LOC4813659,,protein_coding,4813659
LOC4802141,,protein_coding,4802141
LOC117184409,,protein_coding,117184409
LOC4802114,,protein_coding,4802114
LOC4817583,,protein_coding,4817583
LOC6897074,,protein_coding,6897074
LOC6902073,,protein_coding,6902073
LOC6898258,,protein_coding,6898258
LOC4816567,,protein_coding,4816567
LOC4812469,,protein_coding,4812469
LOC4812880,,protein_coding,4812880
LOC4802969,,protein_coding,4802969
LOC117185603,,protein_coding,117185603
LOC4805352,,protein_coding,4805352
LOC4800846,,protein_coding,4800846
LOC4816506,,protein_coding,4816506
LOC4805399,,protein_coding,4805399
LOC4802206,,protein_coding,4802206
LOC4801045,,protein_coding,4801045
LOC4801828,,protein_coding,4801828
LOC4804529,,protein_coding,4804529
LOC117185217,,protein_coding,117185217
LOC4812938,,protein_coding,4812938
LOC4803416,,protein_coding,4803416
LOC26534264,,lncRNA,26534264
LOC6899113,,protein_coding,6899113
LOC26534010,,lncRNA,26534010
LOC117183216,,protein_coding,117183216
LOC117184941,,lncRNA,117184941
LOC4817370,,protein_coding,4817370
LOC4816947,,protein_coding,4816947
LOC117183483,Trnas-gcu-2,tRNA,117183483
LOC4805659,,protein_coding,4805659
LOC4814345,,protein_coding,4814345
LOC4812890,,protein_coding,4812890
LOC4813413,,protein_coding,4813413
LOC6903644,,protein_coding,6903644
LOC6901711,,protein_coding,6901711
LOC4804703,,protein_coding,4804703
LOC4802768,,protein_coding,4802768
LOC4816795,,protein_coding,4816795
LOC4801264,,protein_coding,4801264
LOC6902230,,protein_coding,6902230
LOC4816168,,protein_coding,4816168
LOC4800823,,protein_coding,4800823
LOC4801676,,protein_coding,4801676
LOC117184169,,protein_coding,117184169
LOC4805355,,protein_coding,4805355
LOC4803521,,protein_coding,4803521
LOC6897068,,protein_coding,6897068
LOC4803762,,protein_coding,4803762
LOC4800945,,protein_coding,4800945
LOC4803774,,protein_coding,4803774
LOC4813996,,protein_coding,4813996
LOC117184201,,lncRNA,117184201
LOC117183498,,protein_coding,117183498
LOC4812062,,protein_coding,4812062
LOC4803911,,protein_coding,4803911
LOC6901311,,protein_coding,6901311
LOC4801387,,protein_coding,4801387
LOC6900132,,protein_coding,6900132
LOC4813078,,protein_coding,4813078
LOC4812494,,protein_coding,4812494
LOC4801194,,protein_coding,4801194
LOC5495521,,protein_coding,5495521
LOC6900309,,protein_coding,6900309
LOC6903223,,protein_coding,6903223
LOC6903490,,protein_coding,6903490
LOC4812098,,protein_coding,4812098
LOC6901068,,protein_coding,6901068
LOC4815819,,protein_coding,4815819
LOC6900844,,protein_coding,6900844
LOC4800703,,protein_coding,4800703
LOC4812914,,protein_coding,4812914
LOC4800392,,protein_coding,4800392
LOC4801958,,protein_coding,4801958
LOC4801904,,protein_coding,4801904
LOC4802984,,protein_coding,4802984
LOC4801143,,protein_coding,4801143
LOC4812771,,protein_coding,4812771
LOC6901775,,protein_coding,6901775
LOC6903510,,protein_coding,6903510
LOC6902355,,protein_coding,6902355
LOC4804487,,protein_coding,4804487
LOC117185190,,lncRNA,117185190
LOC4813744,,protein_coding,4813744
LOC6902742,,protein_coding,6902742
LOC6902421,,protein_coding,6902421
LOC4815368,,protein_coding,4815368
LOC4801723,,protein_coding,4801723
LOC4804525,,protein_coding,4804525
LOC4814083,,protein_coding,4814083
LOC6900222,,protein_coding,6900222
LOC4802018,,protein_coding,4802018
LOC6901156,,protein_coding,6901156
LOC6897209,,protein_coding,6897209
LOC26532275,,protein_coding,26532275
LOC4814676,,protein_coding,4814676
LOC117183333,,protein_coding,117183333
LOC117185468,,rRNA,117185468
LOC4817800,,protein_coding,4817800
LOC4812517,,protein_coding,4812517
LOC6900776,,protein_coding,6900776
LOC6897052,,protein_coding,6897052
LOC6898511,,protein_coding,6898511
LOC117183361,,protein_coding,117183361
LOC6899798,,protein_coding,6899798
LOC6896955,,protein_coding,6896955
LOC4815547,,protein_coding,4815547
LOC117185590,Trnae-cuc-16,tRNA,117185590
LOC4800696,,protein_coding,4800696
LOC117184935,,lncRNA,117184935
LOC117184136,,protein_coding,117184136
LOC6903006,,protein_coding,6903006
LOC26533482,,lncRNA,26533482
LOC117185054,,protein_coding,117185054
LOC26532579,,lncRNA,26532579
LOC6898956,,protein_coding,6898956
LOC6902502,,protein_coding,6902502
LOC4804639,,protein_coding,4804639
LOC4802061,,protein_coding,4802061
LOC4801827,,protein_coding,4801827
LOC4804755,,protein_coding,4804755
LOC4802404,,protein_coding,4802404
LOC4816720,,protein_coding,4816720
LOC4812581,,protein_coding,4812581
LOC4804607,,protein_coding,4804607
LOC117183275,,protein_coding,117183275
LOC117185048,,protein_coding,117185048
LOC26532671,,lncRNA,26532671
LOC4813807,,protein_coding,4813807
LOC4802981,,protein_coding,4802981
LOC4802448,,protein_coding,4802448
LOC4817852,,protein_coding,4817852
LOC6903466,,protein_coding,6903466
LOC4801306,,protein_coding,4801306
LOC6901253,,protein_coding,6901253
LOC4814553,,protein_coding,4814553
LOC4804739,,protein_coding,4804739
LOC4804737,,protein_coding,4804737
LOC6900566,,protein_coding,6900566
LOC117183599,,protein_coding,117183599
LOC4817263,,protein_coding,4817263
LOC4813420,,protein_coding,4813420
LOC4811972,,protein_coding,4811972
LOC4812807,,protein_coding,4812807
LOC4817547,,protein_coding,4817547
LOC6896706,,protein_coding,6896706
LOC4815564,,protein_coding,4815564
LOC4812879,,protein_coding,4812879
LOC26533104,,protein_coding,26533104
LOC4804075,,protein_coding,4804075
LOC4812501,,protein_coding,4812501
LOC6903452,,protein_coding,6903452
LOC4815527,,protein_coding,4815527
LOC4805020,,protein_coding,4805020
LOC4817996,,protein_coding,4817996
LOC4805694,,protein_coding,4805694
LOC26533150,,protein_coding,26533150
LOC6901466,,protein_coding,6901466
LOC4815780,,protein_coding,4815780
LOC117184585,,lncRNA,117184585
LOC4813549,,protein_coding,4813549
LOC6897520,,protein_coding,6897520
LOC26531986,,protein_coding,26531986
LOC117184825,,protein_coding,117184825
LOC4802075,,protein_coding,4802075
LOC26533834,,lncRNA,26533834
LOC6902129,,protein_coding,6902129
LOC4813385,,protein_coding,4813385
LOC4812475,,protein_coding,4812475
LOC6903229,,protein_coding,6903229
LOC6899206,,protein_coding,6899206
LOC4802880,,protein_coding,4802880
LOC117183182,,lncRNA,117183182
LOC4812753,,protein_coding,4812753
LOC6897738,,protein_coding,6897738
LOC4817271,,protein_coding,4817271
LOC4814985,,protein_coding,4814985
LOC6897978,,protein_coding,6897978
LOC6902127,,protein_coding,6902127
LOC4817551,,protein_coding,4817551
LOC4805519,,protein_coding,4805519
LOC4805722,,lncRNA,4805722
LOC117183484,Trnas-gcu-5,tRNA,117183484
LOC6897767,,protein_coding,6897767
LOC6898873,,protein_coding,6898873
LOC4805301,,protein_coding,4805301
LOC4801738,,protein_coding,4801738
LOC4817112,,protein_coding,4817112
LOC4804696,,protein_coding,4804696
LOC4802229,,protein_coding,4802229
LOC4813440,,protein_coding,4813440
LOC4803541,,protein_coding,4803541
LOC117185326,Trnap-cgg-2,tRNA,117185326
LOC4804879,,protein_coding,4804879
LOC4812783,,protein_coding,4812783
LOC6896919,,protein_coding,6896919
LOC6898537,,protein_coding,6898537
LOC6903363,,protein_coding,6903363
LOC4812932,,protein_coding,4812932
LOC117184382,,lncRNA,117184382
LOC4817922,,protein_coding,4817922
LOC6898803,,protein_coding,6898803
LOC4801518,,protein_coding,4801518
LOC4800958,,protein_coding,4800958
LOC4813042,,protein_coding,4813042
LOC4811982,,protein_coding,4811982
LOC4812181,,protein_coding,4812181
LOC6897014,,protein_coding,6897014
LOC4801613,,protein_coding,4801613
LOC117184407,,lncRNA,117184407
LOC117184672,,protein_coding,117184672
LOC4800998,,protein_coding,4800998
LOC6903582,,protein_coding,6903582
LOC4812289,,protein_coding,4812289
LOC117185286,,pseudogene,117185286
LOC4800719,,protein_coding,4800719
LOC4814595,,protein_coding,4814595
LOC6896914,,protein_coding,6896914
LOC4811850,,protein_coding,4811850
LOC6901742,,protein_coding,6901742
LOC4813556,,protein_coding,4813556
LOC4804464,,protein_coding,4804464
LOC4805140,,protein_coding,4805140
LOC4805468,,protein_coding,4805468
LOC6903041,,protein_coding,6903041
LOC4801381,,protein_coding,4801381
LOC6898246,,protein_coding,6898246
LOC4815360,,protein_coding,4815360
LOC4815529,,protein_coding,4815529
LOC4802340,,protein_coding,4802340
LOC26533066,,protein_coding,26533066
LOC6897099,,protein_coding,6897099
LOC4814673,,protein_coding,4814673
LOC4800698,,protein_coding,4800698
LOC4817717,,protein_coding,4817717
LOC4811977,,protein_coding,4811977
LOC4814019,,protein_coding,4814019
LOC117185234,,rRNA,117185234
LOC6900582,,protein_coding,6900582
LOC4801346,,protein_coding,4801346
LOC6901675,,protein_coding,6901675
LOC6900236,,protein_coding,6900236
LOC26534294,,protein_coding,26534294
LOC4813041,,protein_coding,4813041
LOC4800775,,protein_coding,4800775
LOC26534414,,protein_coding,26534414
LOC6902136,,protein_coding,6902136
LOC4817429,,protein_coding,4817429
LOC26533500,,protein_coding,26533500
LOC6902046,,protein_coding,6902046
LOC6898369,,protein_coding,6898369
LOC6898544,,snoRNA,6898544
LOC4801282,,protein_coding,4801282
LOC26533015,,lncRNA,26533015
LOC4813358,,protein_coding,4813358
LOC4817687,,protein_coding,4817687
LOC4813019,,protein_coding,4813019
LOC4813716,,protein_coding,4813716
LOC4813739,,protein_coding,4813739
LOC4814939,,protein_coding,4814939
LOC4814241,,protein_coding,4814241
LOC6902746,,protein_coding,6902746
LOC4803692,,protein_coding,4803692
LOC4803249,,protein_coding,4803249
LOC4815955,,protein_coding,4815955
LOC6896675,,protein_coding,6896675
LOC6901382,,protein_coding,6901382
LOC4816150,,protein_coding,4816150
LOC6899618,,protein_coding,6899618
LOC117184427,,protein_coding,117184427
LOC6903547,,protein_coding,6903547
LOC4803643,,protein_coding,4803643
LOC4802970,,protein_coding,4802970
LOC117183650,,lncRNA,117183650
LOC4805530,,protein_coding,4805530
LOC26533837,,protein_coding,26533837
LOC4801510,,protein_coding,4801510
LOC117183714,,protein_coding,117183714
LOC117183946,,lncRNA,117183946
LOC117185191,,lncRNA,117185191
LOC4803945,,protein_coding,4803945
LOC4814833,,protein_coding,4814833
LOC4811783,,protein_coding,4811783
LOC4803227,,protein_coding,4803227
LOC117184606,,protein_coding,117184606
LOC26532598,,lncRNA,26532598
LOC4805400,,protein_coding,4805400
LOC26532218,,lncRNA,26532218
LOC4805619,,protein_coding,4805619
LOC4814149,,protein_coding,4814149
LOC4812665,,protein_coding,4812665
LOC6897403,,protein_coding,6897403
LOC4804827,,protein_coding,4804827
LOC6897176,,protein_coding,6897176
LOC6899994,,protein_coding,6899994
LOC4803121,,protein_coding,4803121
LOC4801371,,protein_coding,4801371
LOC4811787,,protein_coding,4811787
LOC4817902,,protein_coding,4817902
LOC6898393,,protein_coding,6898393
LOC117185514,,rRNA,117185514
LOC4802041,,protein_coding,4802041
LOC4817201,,protein_coding,4817201
LOC4814650,,protein_coding,4814650
LOC4803065,,protein_coding,4803065
LOC6900234,,protein_coding,6900234
LOC4803782,,protein_coding,4803782
LOC26532365,,lncRNA,26532365
LOC4801935,,protein_coding,4801935
LOC117183816,Trnar-ccu,tRNA,117183816
LOC117183426,Trnaa-agc-5,tRNA,117183426
LOC6896965,,protein_coding,6896965
LOC6902091,,protein_coding,6902091
LOC4816194,,protein_coding,4816194
LOC4800244,,protein_coding,4800244
LOC4812904,,protein_coding,4812904
LOC4805556,,protein_coding,4805556
LOC4800657,,protein_coding,4800657
LOC6901331,,protein_coding,6901331
LOC4814134,,protein_coding,4814134
LOC4804560,,protein_coding,4804560
LOC117185198,,protein_coding,117185198
LOC26532277,,lncRNA,26532277
LOC4804383,,protein_coding,4804383
LOC4817452,,protein_coding,4817452
LOC4817778,,protein_coding,4817778
LOC6902574,,protein_coding,6902574
LOC6899894,,protein_coding,6899894
LOC6903935,,protein_coding,6903935
LOC6903079,,protein_coding,6903079
LOC117184122,,lncRNA,117184122
LOC26532788,,protein_coding,26532788
LOC117184244,,lncRNA,117184244
LOC4814952,,protein_coding,4814952
LOC4804135,,protein_coding,4804135
LOC6897094,,protein_coding,6897094
LOC4812957,,protein_coding,4812957
LOC117185269,,rRNA,117185269
LOC26532176,,lncRNA,26532176
LOC117185467,,rRNA,117185467
LOC4816360,,protein_coding,4816360
LOC4817055,,protein_coding,4817055
LOC4815108,,protein_coding,4815108
LOC4815149,,protein_coding,4815149
LOC26533352,,lncRNA,26533352
LOC6896780,,protein_coding,6896780
LOC4805699,,protein_coding,4805699
LOC4802324,,protein_coding,4802324
LOC4812258,,protein_coding,4812258
LOC26534274,,lncRNA,26534274
LOC117184565,,protein_coding,117184565
LOC4818141,,protein_coding,4818141
LOC117183577,,protein_coding,117183577
LOC4801690,,protein_coding,4801690
LOC117185575,,rRNA,117185575
LOC6897201,,rRNA,6897201
